Site F Longitude Latitude    ve      vn   sig_ve sig_vn rho_en    t1       t2   
        (deg.E)   (deg.N) |---------- mm/yr ----------|                         
CG21 s   22.8065  38.7518   12.69   -3.32   0.45   0.50  0.021 1997.734 2005.740
CG30 s   22.1415  38.3966   10.02    1.42   0.99   1.02  0.093 1995.475 2000.514
CG32 s   22.5767  38.3992    9.39   -2.23   0.73   0.73 -0.005 1995.475 2005.740
CG33 s   22.8690  38.4284    8.85   -6.64   1.09   1.10 -0.023 1995.749 2005.740
CG44 s   22.6429  38.0095    7.55  -11.24   0.72   0.72 -0.003 1995.475 2005.740
CG49 s   23.2128  38.0971    7.96  -10.26   0.37   0.38 -0.008 1996.391 2000.514
CG50 s   23.3549  38.2095    7.78   -9.84   0.35   0.36  0.008 1996.391 2000.514
CG51 s   23.5439  38.2237    8.16  -10.34   0.58   0.64  0.012 1997.734 2005.740
CG52 s   23.9632  38.3877    8.74  -10.90   0.40   0.41 -0.008 1997.734 2000.514
CG53 s   23.8536  38.2304    8.83  -11.25   0.46   0.50  0.009 1997.734 2000.514
CG55 s   24.1876  38.3453    8.36  -12.23   0.35   0.36  0.001 1997.734 2005.740
CG62 s   22.4303  37.8497    7.74  -11.28   0.40   0.42 -0.078 1996.391 2000.514
CG64 s   22.9401  37.7947    6.86  -13.23   0.37   0.38 -0.013 1996.391 2005.740
CHBH s   60.6938  25.2996   31.33   12.50   0.95   0.94  0.000 1999.727 2005.740
CHO0 s   44.2765  40.7360   28.26   17.55   0.29   0.30 -0.016 1998.768 2009.523
CHO4 s   44.2763  40.7360   27.97   16.37   0.50   0.52 -0.008 2003.516 2009.523
CHSH s   50.9875  35.0879   25.69   19.18   0.48   0.49 -0.005 2000.742 2005.584
CINE s   28.0806  37.6092    4.36   -6.88   0.51   0.52 -0.015 1994.736 2009.693
CK00 s   22.8577  37.8875    7.83  -12.99   0.36   0.37 -0.006 1997.734 2005.740
CKRH s   37.8861  37.5414   18.19   24.35   0.37   0.41 -0.051 1998.699 2008.529
CLTK s   30.4045  40.8800   25.80   12.38   0.37   0.41 -0.038 2003.755 2011.377
CM00 s   22.9559  38.2162    7.61   -7.12   0.39   0.41 -0.010 1997.734 2005.740
CMLN s   30.9164  40.1180    1.21    9.60   0.35   0.39 -0.071 1999.874 2011.377
CN00 s   22.9385  38.2941    7.63   -6.77   0.40   0.42 -0.019 1997.734 2005.740
CP00 s   22.8088  38.3429   10.01   -4.69   0.50   0.47  0.011 1997.734 2005.740
CS00 s   22.5569  38.4927   11.16   -2.32   0.37   0.38 -0.010 1997.734 2005.740
DAHA s   34.4699  28.5288   22.72   18.82   0.42   0.42 -0.014 1997.903 2003.953
DAHE s   40.1103  15.6395   28.03   18.58   1.09   0.99 -0.010 2007.462 2010.801
DAHW s   39.9546  15.7376   28.23   15.21   1.03   0.95  0.007 2007.462 2010.801
DAKI s   57.0364  27.4442   26.97   22.48   0.88   0.86 -0.005 2005.089 2008.097
DALL s   46.0270  40.8967   29.77   17.66   0.72   0.75  0.013 2008.097 2012.366
DALY s   36.2695  35.2145   20.70   22.54   0.49   0.49  0.034 2000.858 2008.449
DAMA s   52.0588  35.7008   25.36   17.52   0.77   0.79  0.005 2000.742 2005.584
DAMG s   20.0632  40.9623   24.39   12.10   0.83   0.86  0.007 2006.384 2009.856
DANA s   35.5804  30.6977   26.49   23.72   1.03   1.03 -0.007 2005.584 2010.441
DASK s   35.6909  32.5007   23.21   22.97   0.74   0.73 -0.014 2005.463 2010.441
DBMK s   37.7668  10.2541   23.43   15.16   0.79   0.75 -0.005 2007.225 2010.255
DBSS s   38.7571  36.4607   20.70   25.06   0.64   0.38 -0.016 2001.049 2008.529
DBYZ s   44.1450  39.5556   30.34   18.12   0.61   0.62 -0.030 1999.593 2010.664
DDRG s   34.7805  40.8876    9.11   13.89   0.89   1.01 -0.056 2001.610 2007.658
DE30 s   21.8781  39.8385   22.29    6.09   0.35   0.36 -0.022 1996.391 2004.816
DEBA s   42.3462  12.7031   43.50   27.14   1.29   1.19 -0.026 2007.381 2010.255
DELA s   23.0888  42.3866   25.35   10.79   0.90   0.92  0.003 1997.734 2000.693
DEMI s   27.7788  41.8265   23.17   12.27   0.77   0.83 -0.004 1994.736 1998.768
DERB s   33.4040  28.6305   23.10   17.07   0.76   1.37 -0.003 1997.903 2003.755
DERN s   29.6814  40.3616    2.17    8.98   0.91   0.99 -0.008 1994.736 2011.377
DERS s   36.4188  35.1184   21.43   22.87   0.80   0.45 -0.011 2000.858 2008.449
DERV s   20.1710  40.0391   21.93   13.30   1.47   1.47 -0.002 2003.516 2008.721
DF00 s   42.5232  11.6036   39.43   25.03   0.90   0.87 -0.008 1999.126 2003.216
DHMR s   44.3920  14.5710   37.56   28.98   0.69   0.66 -0.009 2003.953 2008.157
DIOC s   23.9325  38.0785    8.82  -10.69   0.47   0.39 -0.018 1994.736 2001.203
DLMN s   28.8259  36.7623    8.52   -6.67   0.73   0.75 -0.001 2000.786 2009.693
DOBR s   23.5686  41.8225   24.76   10.71   0.51   0.53 -0.021 1996.724 2001.610
DOGA s   37.5347  40.2288    8.55   17.87   1.08   1.18 -0.034 2004.758 2007.658
DOHA s   36.1043  35.5980   19.66   22.04   0.41   0.42 -0.017 2000.858 2008.449
DOKU s   26.7065  40.7393   20.60    9.85   0.33   0.35 -0.051 2002.934 2011.377
DORT s   36.1374  36.8994   14.54   21.16   0.23   0.25 -0.068 1994.736 2008.529
